team,end,end_shot,player,task,turn,points,chance_perfect,chance_zero,expected_points,pre_WP,WP
United States of America,7,9,Tyler George,Draw,CW,4,0.573099,0.0811677,3.17825,0.5985,0.6101
Sweden,7,10,Oskar Eriksson,Clearing,CCW,4,0.856845,0.0365012,3.63437,0.6101,0.6013
United States of America,7,11,Tyler George,Guard,CW,3,0.683778,0.0389013,3.47887,0.6013,0.5986
Sweden,7,12,Oskar Eriksson,Raise,CCW,4,0.490094,0.138248,2.82107,0.5986,0.5749
United States of America,7,13,John Shuster,Guard,CCW,4,0.626986,0.0525265,3.61134,0.5749,0.6306
Sweden,7,14,Niklas Edin,Take-out,CCW,0,0.599302,0.189457,2.69322,0.6306,0.7018
United States of America,7,15,John Shuster,Guard,CCW,4,0.687662,0.0512902,3.47009,0.7018,0.7311
Sweden,7,16,Niklas Edin,Promotion,CCW,4,0.399247,0.471024,1.60437,0.7311,0.5722
Sweden,8,1,Christoffer Sundgren,Front,CCW,4,0.83524,0.0457942,3.66518,0.6691,0.6691
United States of America,8,2,John Landsteiner,Wick,CCW,0,0.579226,0.240971,2.5852,0.6691,0.6388
Sweden,8,3,Christoffer Sundgren,Front,CCW,4,0.797608,0.0449485,3.57011,0.6388,0.6382
United States of America,8,4,John Landsteiner,Draw,CW,4,0.61163,0.0780509,3.32547,0.6382,0.6439
Sweden,8,5,Rasmus Wranå,Draw,CCW,3,0.564903,0.0758319,3.18835,0.6439,0.6376
United States of America,8,6,Matt Hamilton,Clearing,CCW,4,0.86121,0.0364098,3.64945,0.6376,0.6457
Sweden,8,7,Rasmus Wranå,Guard,CCW,4,0.738929,0.0380674,3.5441,0.6457,0.6393
United States of America,8,8,Matt Hamilton,Clearing,CW,2,0.874438,0.0283963,3.73465,0.6393,0.6231
Sweden,8,9,Oskar Eriksson,Guard,CCW,4,0.697037,0.0381654,3.55257,0.6231,0.6164
United States of America,8,10,Tyler George,Raise,CCW,2,0.47339,0.158611,2.67404,0.6164,0.6023
Sweden,8,11,Oskar Eriksson,Draw,CCW,2,0.609359,0.0688615,3.32653,0.6023,0.6237
United States of America,8,12,Tyler George,Hit-roll,CCW,3,0.516996,0.0861568,3.20214,0.6237,0.6345
Sweden,8,13,Niklas Edin,Draw,CCW,3,0.55715,0.0752184,3.13472,0.6345,0.6367
United States of America,8,14,John Shuster,Hit-roll,CCW,3,0.492675,0.0993605,3.0359,0.6367,0.6522
Sweden,8,15,Niklas Edin,Hit-roll,CCW,3,0.47139,0.0729935,3.17613,0.6522,0.67
United States of America,8,16,John Shuster,Double,CCW,4,0.558264,0.222114,2.53059,0.67,0.7333
United States of America,9,1,John Landsteiner,Through,NA,NA,NA,NA,NA,0.9988,0.9987
Sweden,9,2,Christoffer Sundgren,Front,CW,4,0.875072,0.0557537,3.76805,0.9987,0.9988
United States of America,9,3,John Landsteiner,Wick,CW,0,0.364562,0.513449,1.3831,0.9988,0.9988
Sweden,9,4,Christoffer Sundgren,Front,CCW,4,0.807021,0.0544755,3.74131,0.9988,0.999
United States of America,9,5,Matt Hamilton,Clearing,CCW,4,0.883205,0.034167,3.6554,0.999,0.9991
Sweden,9,6,Rasmus Wranå,Front,CW,4,0.804207,0.0404256,3.74092,0.9991,0.9993
United States of America,9,7,Matt Hamilton,Clearing,CCW,4,0.898393,0.0357995,3.73095,0.9993,0.9993
Sweden,9,8,Rasmus Wranå,Draw,CCW,3,0.570151,0.0684726,3.13265,0.9993,0.999
United States of America,9,9,Tyler George,Clearing,CCW,4,0.884379,0.0381128,3.7102,0.999,0.9992
Sweden,9,10,Oskar Eriksson,Draw,CCW,0,0.57349,0.0672027,3.12558,0.9992,0.9993
United States of America,9,11,Tyler George,Clearing,CW,1,0.859851,0.0373238,3.71811,0.9993,0.9982
Sweden,9,12,Oskar Eriksson,Draw,CCW,4,0.622337,0.0593125,3.10943,0.9982,0.9971
United States of America,9,13,John Shuster,Clearing,CW,4,0.891303,0.0439988,3.77303,0.9971,0.9976
Sweden,9,14,Niklas Edin,Draw,CW,4,0.59698,0.0849522,3.08502,0.9976,0.9972
United States of America,9,15,John Shuster,Hit-roll,CCW,2,0.476888,0.0821143,3.05937,0.9972,0.9952
Sweden,9,16,Niklas Edin,Draw,CCW,4,0.833029,0.102857,3.58058,0.9952,0.9947
Sweden,10,1,Christoffer Sundgren,Front,CW,4,0.83524,0.0457942,3.66518,0.9951,0.9949
United States of America,10,2,John Landsteiner,Wick,CCW,0,0.579226,0.240971,2.5852,0.9949,0.9944
Sweden,10,3,Christoffer Sundgren,Front,CW,4,0.797608,0.0449485,3.57011,0.9944,0.994
United States of America,10,4,John Landsteiner,Through,NA,NA,NA,NA,NA,0.994,0.9928
Sweden,10,5,Rasmus Wranå,Draw,CW,4,0.599245,0.0658863,3.22707,0.9928,0.9918
United States of America,10,6,Matt Hamilton,Clearing,CCW,4,0.865108,0.0356949,3.67734,0.9918,0.992
Sweden,10,7,Rasmus Wranå,Guard,CW,4,0.735584,0.0339766,3.55394,0.992,0.9922
United States of America,10,8,Matt Hamilton,Clearing,CCW,4,0.881647,0.0304154,3.77837,0.9922,0.992
Sweden,10,9,Oskar Eriksson,Guard,CW,4,0.730461,0.0333153,3.60875,0.992,0.9912
United States of America,10,10,Tyler George,Clearing,CCW,4,0.871039,0.0343578,3.68184,0.9912,0.9915
Sweden,10,11,Oskar Eriksson,Guard,CW,4,0.757776,0.0280495,3.69579,0.9915,0.9912
United States of America,10,12,Tyler George,Clearing,CCW,4,0.890816,0.0321633,3.77386,0.9912,0.9928
Sweden,10,13,Niklas Edin,Draw,CCW,3,0.587512,0.0893517,3.11374,0.9928,0.9918
NA,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
